No.,Market,Current Segment,Segment on First Quotation,Company,ISIN,Symbol,Country,Type,Supersector,Sector,Subsector,Prospectus,First Trading Day,Underwriter,Issuing Method,Bookbuilding Range,Subscription Price,First Price,Placement Volume incl. GS in euro,Placement Volume of executed GS in euro,Placement Volume (Shares),Placement Volume (Shares) of New Shares,Placement Volume (Shares) of Existing Shares,Greenshoe in Shares,Greenshoe in Executed Shares,Capital Stock / Shares on 1st Quotation,Total Market Cap on 1st Quotation in euro,Market Cap (Free Float) on 1st Quotation in euro
35,Regulated Market,Prime Standard,Prime Standard,DWS Group GmbH & Co. KGaA,DE000DWS1007,DWS,Germany,NI,FIRE,Financial Services,Diversified Financial,yes,23/03/2018,"Sole Global Coordinator & Bookrunner:<br>  Deutsche Bank AG  <br><br>  Joint Bookrunners:<br>  Barclays, Citigroup, Credit Suisse, BNP PARIBAS, ING, Morgan Stanley, UBS Investment Bank, UniCredit Bank AG  <br><br>  Co-Lead Manager:<br>  Commerzbank, Daiwa Capital Markets Europe, Banca IMI, Nordea, Santander (Lead Manager: Deutsche Bank AG)",Bookbuilding Procedure,30.00 - 36.00,32.5,32.55,"1,333,089,160.00","33,089,160.00","41,018,128",,"41,018,128","4,500,000","1,018,128","200,000,000","6,510,000,000.00","1,122,975,000.00"
36,Regulated Market,Prime Standard,Prime Standard,Siemens Healthineers AG,DE000SHL1006,SHL,Germany,NI,Pharma & Healthcare,Pharma & Healthcare,Medical Technology,yes,16/03/2018,"Joint Global Coordinators and Joint Bookrunners:<br>  Deutsche Bank, Goldman Sachs International, J.P. Morgan  <br><br>  Joint Bookrunners:<br>  BNP PARIBAS, BofA Merrill Lynch, Citigroup, UBS Investment Bank  <br><br>  Co-Lead Managers:<br>  Berenberg, COMMERZBANK, HSBC, Jefferies, Nordea, RBC Capital Markets, UniCredit Bank AG     (Lead Manager: Deutsche Bank, Goldman Sachs International, J.P. Morgan)",Bookbuilding Procedure,26.00 - 31.00,28,29.1,"4,200,000,000.00","547,826,076.00","150,000,000",,"150,000,000","19,565,217","19,565,217","1,000,000,000","29,100,000,000.00","4,365,000,000.00"
37,Regulated Market,Prime Standard,Scale,STEMMER IMAGING AG,DE000A2G9MZ9,S9I,Germany,NI,Information Technology,Software,IT-Services,yes,27/02/2018,Sole Global Coordinator & Sole Bookrunner:<br>  Hauck & Aufhäuser Privatbankiers Aktiengesellschaft (Lead Manager: Hauck & Aufhäuser Privatbankiers Aktiengesellschaft),Bookbuilding Procedure,32.00 - 36.00,34,36,"101,660,000.00","13,260,000.00","2,990,000","1,500,000","1,490,000","390,000","390,000","6,500,000","234,000,000.00","107,640,000.00"
38,Regulated Market,Prime Standard,Prime Standard,Instone Real Estate Group AG,NL0012757355,INS,Germany,PP,FIRE,Financial Services,Real Estate,yes,15/02/2018,"Joint Global Coordinators & Joint Bookrunners:<br>  Credit Suisse, Deutsche Bank  <br><br>  Joint Bookrunners:<br>  BNP PARIBAS, Morgan Stanley, UniCredit Bank (Lead Manager: Credit Suisse, Deutsche Bank)",Bookbuilding Procedure,21.50 - 25.50,21.5,21.5,"389,982,544.50","17,939,062.50","18,138,723","7,000,000","11,138,723","2,595,652","834,375","36,988,336","795,249,224.00","437,387,073.20"
39,Regulated Market,Prime Standard,Prime Standard,Dermapharm Holding SE,DE000A2GS5D8,DMP,Germany,NI,Pharma & Healthcare,Pharma & Healthcare,Pharmaceuticals,yes,9/2/2018,Sole Global Coordinator & Sole Bookrunner:<br>  Berenberg  <br><br>  Co-Lead Manager:<br>  ODDO BHF   (Lead Manager: Berenberg),Bookbuilding Procedure,26.00 - 30.00,28,28,"359,940,000.00","32,340,000.00","12,855,000","3,840,000","9,015,000","1,755,000","1,155,000","53,840,000","1,507,520,000.00","327,584,096.00"
40,Regulated Market,Prime Standard,Prime Standard,Befesa S.A.,LU1704650164,BFSA,Grand Duchy of Luxembourg,NI,Industrials,Industrial,Industrial Products & Services,yes,3/11/2017,"Joint Global Coordinators & Joint Bookrunners:<br>  Citigroup, Goldman Sachs International, J.P. Morgan  <br><br>  Joint Bookrunners:<br>  Berenberg, Commerzbank, Santander, Stifel (Lead Manager: Citigroup, Goldman Sachs International, J.P. Morgan)",Bookbuilding Procedure,28.00 - 38.00,28,28,"460,717,600.00",,"14,308,000",,"16,454,200","2,146,200",,"34,066,705","953,867,740.00","430,957,444.93"
41,Regulated Market,Prime Standard,Prime Standard,HelloFresh SE,DE000A161408,HFG,Germany,NI,Consumer Services,Retail,"Retail, Internet",yes,2/11/2017,"Joint Global Coordinators & Joint Bookrunners:<br>  Deutsche Bank, J.P. Morgan, Morgan Stanley, Berenberg, BNP PARIBAS  Co-Lead Manager:<br>  Rabobank (Lead Manager: Deutsche Bank, J.P. Morgan, Morgan Stanley, Berenberg, BNP PARIBAS)",Bookbuilding Procedure,9.00 - 11.50,10.25,10.6,"285,549,194.50","8,799,194.50","27,858,458","27,000,000","858,458","4,050,000","858,458","160,128,752","1,697,364,771.20","286,175,700.42"
42,Regulated Market,Prime Standard,Entry Standard,Corestate Capital Holding S.A. ,LU1296758029,CCAP,Grand Duchy of Luxembourg,TR,FIRE,Financial Services,Real Estate,yes,2/11/2017,,,,,50.83,,,,,,,,"21,235,299","1,079,390,248.17",
43,Open Market,Scale,Scale,Mynaric AG,DE000A0JCY11,M0Y,Germany,NI,Information Technology,Technology,Communications Technology,yes,30/10/2017,Sole Global Coordinator & Sole Bookrunner:<br>  Hauck & Aufhäuser Privatbankiers AG (Lead Manager: Hauck & Aufhäuser Privatbankiers AG),Bookbuilding Procedure,45.00 - 54.00,54,53.75,"27,324,000.00","3,564,000.00","506,000","506,000",,"66,000","66,000","2,704,304","145,356,340.00","47,953,056.57"
44,Regulated Market,Prime Standard,Prime Standard,VARTA AG,DE000A0TGJ55,VAR1,Germany,NI,Industrials,Industrial,Advanced Industrial Equipment,yes,19/10/2017,Sole Global Coordinator & Joint Bookrunner:<br>  Berenberg  <br><br>  Joint Bookrunner:<br>  UniCredit Bank AG (Lead Manager: Berenberg),Bookbuilding Procedure,15.00 - 17.50,17.5,24.25,"233,450,000.00","30,450,000.00","13,340,000","8,600,000","4,740,000","1,950,000","1,740,000","38,200,000","926,350,000.00","323,388,785.00"
45,Regulated Market,Prime Standard,Prime Standard,Voltabox AG,DE000A2E4LE9,VBX,Germany,NI,Industrials,Industrial,Advanced Industrial Equipment,yes,13/10/2017,Global Coordinator & Joint Bookrunner:<br>  Bankhaus Lampe KG  <br><br>  Joint Bookrunner:<br>  Hauck & Aufhäuser Privatbankiers AG (Lead Manager: Bankhaus Lampe KG),Bookbuilding Procedure,20.00 - 24.00,24,30,"151,800,000.00","19,800,000.00","6,325,000","5,825,000","500,000","825,000","825,000","15,825,000","474,750,000.00","189,757,575.00"
46,Regulated Market,Prime Standard,Prime Standard,JOST Werke AG,DE000JST4000,JST,Germany,PP,Consumer Goods,Automobile,Auto Parts & Equipment,yes,20/07/2017,"Joint Global Coordinators & Joint Bookrunners: <br> Deutsche Bank, J.P. Morgan, COMMERZBANK  <br><br>  Joint Bookrunner:<br>  BNP Paribas<br><br>  Financial Advisor:<br>  Rothschild (Lead Manager: Deutsche Bank, J.P. Morgan, COMMERZBANK)",Bookbuilding Procedure,25.00 - 31.00,27,27.4,"231,322,500.00","30,172,500.00","8,567,500","4,875,000","3,692,500","1,117,500","1,117,500","14,900,000","408,260,000.00","234,790,326.00"
47,Regulated Market,Prime Standard,Prime Standard,METRO AG,DE000BFB0019,B4B,Germany,LI,Consumer Services,Retail,"Retail, Multiline",yes,13/07/2017,"Listing Agents:<br>  BofA Merrill Lynch, J. P. Morgan",,,,20,,,,,,,,"363,097,253","7,261,945,060.00",
48,Open Market,Scale,Scale,The Naga Group AG,DE000A161NR7,N4G,Germany,NI,FIRE,Financial Services,Securities Brokers,yes,10/7/2017,Capital Market Partner: Hauck & Aufhäuser AG,Fixed Price Procedure,,2.6,3.6,"2,600,000.00",,"1,000,000","1,000,000",,,,"21,008,048","75,628,972.80",
49,Open Market,Scale,Scale,Noratis AG,DE000A2E4MK4,NUVA,Germany,NI,FIRE,Financial Services,Real Estate,yes,30/06/2017,Sole Global Coordinator & Sole Bookrunner:<br>  ICF BANK AG (Lead Manager: ICF BANK AG),Bookbuilding Procedure,18.75 - 22.75,18.75,18.75,"17,391,500.00","187,500.00","930,000","920,000","10,000","80,000","10,000","2,920,000","54,750,000.00","17,251,725.00"
50,Regulated Market,Prime Standard,Prime Standard,Delivery Hero SE,DE000A2E4K43,DHER,Germany,NI,Consumer Services,Retail,"Retail, Internet",yes,30/06/2017,"Joint Global Coordinators & Joint Bookrunners:<br>  Citigroup, Goldman Sachs International, Morgan Stanley  <br><br>  Joint Bookrunners:<br>  UniCredit Bank AG, Berenberg, Jefferies, UBS Investment Bank (Lead Manager: Citigroup, Goldman Sachs International, Morgan Stanley)",Bookbuilding Procedure,22.00 - 25.50,25.5,26.9,"989,002,404.00","123,277,404.00","38,784,408","18,950,000","19,834,408","5,092,500","4,834,408","171,998,900","4,626,770,410.00","1,836,827,852.77"
51,Regulated Market,General Standard,Prime Standard,Vapiano SE,DE000A0WMNK9,VAO,Germany,NI,Consumer Goods,Consumer,Leisure,yes,27/06/2017,"Joint Global Coordinators & Joint Bookrunners:<br>  Barclays Bank PLC, Joh. Berenberg, Gossler & Co. KG, Jefferies International Limited  <br><br>  Joint Bookrunner:<br>  UniCredit Bank AG      (Lead Manager: Barclays Bank PLC, Joh. Berenberg, Gossler & Co. KG, Jefferies International Limited)",Bookbuilding Procedure,21.00 - 27.00,23,23.95,"169,073,000.00","2,811,152.00","7,351,000","3,695,653","3,655,347","758,074","122,224","24,029,833","575,514,500.00","164,539,596.00"
52,Regulated Market,Prime Standard,Open Market / Quotation Board,Aroundtown SA,CY0105562116,AT1,Cyprus,TR,FIRE,Financial Services,Real Estate,yes,2/6/2017,,,,,4.62,,,,,,,,"853,354,579","3,942,498,155.00",
53,Open Market,Scale,None (Quotation Board),ÖKOWORLD AG,DE0005408686,VVV3,Germany,LI,FIRE,Financial Services,Diversified Financial,yes,11/5/2017,,,,,11.291,,,,,,,,"2,956,846","33,385,748.19",
54,Regulated Market,Prime Standard,Entry Standard / Scale,Grand City Properties S.A.,LU0775917882,GYC,Grand Duchy of Luxembourg,TR,FIRE,Financial Services,Real Estate,yes,9/5/2017,Listing Agent:<br>  quirin bank AG,,,,18.25,,,,,,,,"153,788,883","2,806,647,114.75",
55,Open Market,Scale,Scale,IBU-tec advanced materials AG,DE000A0XYHT5,IBU,Germany,NI,Industrials,Industrial,Industrial Products & Services,yes,30/03/2017,Sole Global Coordinator/Sole Bookrunner:<br>  ICF BANK AG (Lead Manager: ICF BANK AG),Bookbuilding Procedure,16.00 - 20.00,16.5,17.1,"19,965,000.00","2,475,000.00","1,210,000","1,000,000","210,000","150,000","150,000","4,000,000","68,400,000.00","20,691,000.00"
56,Regulated Market,Prime Standard,Prime Standard,Aumann AG,DE000A2DAM03,AAG,Germany,NI,Industrials,Industrial,Industrial Machinery,yes,24/03/2017,"Joint Global Coordinators & Joint Bookrunners:<br>  Berenberg, Citigroup  <br><br>  Joint Bookrunner:<br>  Hauck & Aufhäuser (Lead Manager: Berenberg, Citigroup)",Bookbuilding Procedure,35.00 - 43.00,42,48.2,"251,160,000.00","32,760,000.00","5,980,000","1,500,000","4,480,000","780,000","780,000","14,000,000","674,800,000.00","313,377,120.00"
57,Regulated Market,Prime Standard,Quotation Board,Deutsche Konsum REIT AG,DE000A14KRD3,DKG,Germany,DL,FIRE,Financial Services,Real Estate,yes,3/3/2017,,,,,9,,,,,,,,"24,760,285","222,842,565.00",
58,Regulated Market,Prime Standard,Prime Standard,ProCredit Holding AG & Co. KGaA ,DE0006223407,PCZ,Germany,LI,FIRE,Banks,Credit Banks,yes,22/12/2016,Listing Agent:<br>  Berenberg,,,,12.29,,,,,,,,"53,544,084","658,056,792.36",
59,Open Market,Basic Board,Entry Standard,GxP German Properties AG,DE000A1YCNN8,GXP,Germany,DL,FIRE,Financial Services,Real Estate,yes,12/12/2016,,,,,0.9,,,,,,,,"69,304,574","62,374,116.60",
60,Regulated Market,Prime Standard,Prime Standard,Aves One AG,DE000A168114,AVES,Germany,DL,Industrials,Transportation & Logistics,Transportation Services,yes,28/11/2016,Sole Global Coordinator und Sole Bookrunner:<br>  quirin bank AG (Lead Manager: quirin bank AG),Fixed Price Procedure,,6,6.05,"19,602,000.00","1,782,000.00","3,267,000","3,267,000",,"297,000","297,000","8,910,000","53,905,500.00","17,055,700.20"
61,Regulated Market,Prime Standard,General Standard,Medios AG,DE000A1MMCC8,ILM1,Germany,DL,Pharma & Healthcare,Pharma & Healthcare,Pharmaceuticals,yes,22/11/2016,,,,,7.44,,,,,,,,"11,248,528","83,689,048.00",
62,Regulated Market,Prime Standard,Prime Standard,Shop Apotheke Europe N.V.,NL0012044747,SAE,Netherlands,NI,Consumer Services,Retail,"Retail, Internet",yes,13/10/2016,"Joint Global Coordinators & Joint Bookrunners:<br>  Berenberg, Citigroup  <br><br>  Joint Bookrunner:<br>  Commerzbank (Lead Manager: Berenberg, Citigroup)",Bookbuilding Procedure,28.00 - 35.00,28,30.05,"114,896,516.00","14,896,532.00","4,103,447","3,571,428","532,019","535,714","532,019","9,069,878","272,549,833.90","123,301,544.86"
63,Regulated Market,Delisted,Prime Standard,innogy SE,DE000A2AADD2,IGY,Germany,NI,Utilities,Utilities,Multi-Utilities,yes,7/10/2016,"Joint Global Coordinators & Joint Bookrunners:<br>  Deutsche Bank, Goldman Sachs International  <br><br>  Joint Bookrunners:<br>  BNP Paribas, BofA Merrill Lynch, Credit Suisse, UBS Investment Bank   <br><br>  Co-Lead Manager:<br>  Banco Santander, Berenberg, RBC (Lead Manager: Deutsche Bank, Goldman Sachs International)",Bookbuilding Procedure,32.00 - 36.00,36,37.3,"4,641,491,340.00","96,059,340.00","128,930,315","55,555,000","73,375,315","12,626,200","2,668,315","555,555,000","20,722,201,500.00","4,809,622,968.15"
64,Open Market,Scale,Entry Standard,Corestate Capital Holding S.A. ,LU1296758029,CCAP,Grand Duchy of Luxembourg,LI,FIRE,Financial Services,Real Estate,no,4/10/2016,,,,,17.4,,,,,,,,"12,610,681","219,425,849.40",
65,Regulated Market,Prime Standard,Prime Standard,va-Q-tec AG,DE0006636681,VQT,Germany,NI,Industrials,Industrial,Containers & Packaging,yes,30/09/2016,"Sole Global Coordinator:<br>   Berenberg   <br><br>  Joint Bookrunners:<br>  Berenberg, MainFirst Bank   <br><br>  Co-Lead Manager:<br>  equinet Bank    (Lead Manager: Berenberg)",Bookbuilding Procedure,11.20 - 13.40,12.3,14,"82,885,468.80","10,811,134.20","6,738,656","3,750,000","2,988,656","919,133","878,954","13,089,502","183,253,028.00","94,338,658.81"
66,Regulated Market,Prime Standard,Entry Standard,Rocket Internet SE,DE000A12UKK6,RKET,Germany,TR,Consumer Services,Retail,"Retail, Internet",yes,26/09/2016,,,,,,,,,,,,,,,
67,Regulated Market,Prime Standard,Prime Standard,Uniper SE,DE000UNSE018,UN01,Germany,LI,Utilities,Utilities,Multi-Utilities,yes,12/9/2016,"Listing Agents:<br>  J.P. Morgan, Morgan Stanley",,,,10.015,,,,,,,,"365,960,000","3,665,089,400.00",
68,Regulated Market,General Standard,General Standard,CIECH S.A.,PLCIECH00018,CHX,Poland,LI,Basic Materials,Chemicals,"Chemicals, Speciality",yes,23/08/2016,,,,,14.74,,,,,,,,"52,699,909","776,796,658.66",
69,Open Market,Basic Board,Entry Standard,CLOCKCHAIN AG,DE000A14KN47,U1D,Germany,LI,,Retail,"Retail, Internet",yes,18/08/2016,,,,,4.5,,,,,,,,"900,000","4,050,000.00",
70,Regulated Market,Prime Standard,Prime Standard,"Diebold Nixdorf, Incorporated",US2536511031,DBD,United States,LI,Information Technology,Technology,Electronic Components & Hardware,yes,12/8/2016,,,,,25.67,,,,,,,,"89,907,516","2,307,925,935.72",
71,Open Market,Basic Board,Entry Standard,A.H.T. Syngas Technology N.V.,NL0010872388,3SQ1,Netherlands,LI,Utilities,Utilities,Multi-Utilities,yes,1/7/2016,,,,,5,,,,,,,,"1,500,000","7,500,000.00",
72,Regulated Market,General Standard,General Standard,Decheng Technology AG,DE000A1YDDM9,333,China,NI,Basic Materials,Chemicals,"Chemicals, Speciality",yes,28/06/2016,"Global Coordinator, Lead Manager, Underwriter and Bookrunner:<br>  ACON Actienbank AG (Lead Manager: ACON Actienbank AG)",Fixed Price Procedure,,3.5,3.6,"2,554,499.50",,"729,857","729,857",,,,"30,729,857","110,627,485.20","22,324,626.51"
73,Open Market,Scale,Entry Standard,MyBucks S.A.,LU1404975507,MBC,Grand Duchy of Luxembourg,NI,FIRE,Financial Services,Diversified Financial,yes,23/06/2016,Sole Global Coordinator and Sole Bookrunner:<br>  Hauck & Aufhäuser (Lead Manager: Hauck & Aufhäuser),Fixed Price Procedure,,13.5,13.85,"15,525,000.00","2,025,000.00","1,150,000","1,150,000",,"150,000","150,000","10,998,000","152,322,300.00","27,676,961.91"
74,Open Market,Basic Board,Entry Standard,SendR SE,DE000A1YDAZ7,SD1,Germany,LI,Consumer Services,Media,Movies & Entertainment,yes,30/03/2016,,,,,20,,,,,,,,"1,200,000","24,000,000.00",
75,Regulated Market,General Standard,Prime Standard,Senvion S.A. ,LU1377527517,SEN,Grand Duchy of Luxembourg,PP,Industrials,Industrial,Renewable Energies,yes,23/03/2016,"Joint Global Coordinators & Joint Bookrunners:<br>  Deutsche Bank, J.P. Morgan, Citigroup   <br><br>  Joint Bookrunners:<br>  BofA Merrill Lynch, Barclays, Berenberg, Morgan Stanley  <br><br>  Co-Managers:<br>  Raiffeisen Bank International, Banco Santander (Lead Manager: Deutsche Bank, J.P. Morgan, Citigroup )",Bookbuilding Procedure,15.50 - 17.00,15.75,16,"270,644,251.50","14,706,751.50","17,183,762",,"17,183,762","2,437,500","933,762","65,000,000","1,040,000,000.00","260,000,000.00"
76,Regulated Market,General Standard,General Standard,SPOBAG AG,DE0005490601,SBE,Germany,LI,FIRE,Financial Services,Private Equity & Venture Capital,yes,16/02/2016,,,,,29,,,,,,,,"500,000","14,500,000.00",
77,Regulated Market,Prime Standard,Prime Standard,B.R.A.I.N. Biotechnology Research And Information Network AG,DE0005203947,BNN,Germany,NI,Basic Materials,Chemicals,"Chemicals, Speciality",yes,9/2/2016,Sole Global Coordinator & Sole Bookrunner: ODDO SEYDLER BANK AG (Lead Manager: ODDO SEYDLER BANK AG),Bookbuilding Procedure,9.00 - 12.00,9,9.15,"32,472,486.00","972,486.00","3,608,054","3,500,000","525,000","525,000","108,054","16,414,348","150,191,284.20","33,027,063.40"
78,Regulated Market,Prime Standard,Prime Standard,Steinhoff International Holdings N.V. ,NL0011375019,SNH,Netherlands,LI,Consumer Services,Retail,"Retail, Multiline",yes,7/12/2015,,,,,5,,,,,,,,"3,862,638,640","19,313,193,200.00",
79,Regulated Market,Prime Standard,Prime Standard,EDAG Engineering Group AG,CH0303692047,ED4,Switzerland,NI,Consumer Goods,Automobile,Auto Parts & Equipment,yes,2/12/2015,"Joint Global Coordinators & Joint Bookrunners:<br>  Morgan Stanley, Deutsche Bank  <br><br>  Co-Lead Managers:<br>  COMMERZBANK, M.M. Warburg & CO (Lead Manager: Morgan Stanley, Deutsche Bank)",Bookbuilding Procedure,19.00 - 24.00,19,19.55,"191,187,500.00","24,937,500.00","10,062,500",,"10,062,500","1,312,500","1,312,500","25,000,000","488,750,000.00","196,721,875.00"
80,Open Market,Scale,Entry Standard,German Startups Group GmbH & Co. KGaA,DE000A1MMEV4,GSJ,Germany,LI,FIRE,Financial Services,Private Equity & Venture Capital,yes,11/11/2015,,,,,2.8,,,,,,,,"11,114,750","31,121,300.00",
81,Regulated Market,Prime Standard,Prime Standard,Hapag-Lloyd Aktiengesellschaft,DE000HLAG475,HLAG,Germany,NI,Industrials,Transportation & Logistics,Logistics,yes,6/11/2015,"Joint Global Coordinators & Joint Bookrunners:<br>  Berenberg, Deutsche Bank, Goldman Sachs International  <br><br>  Additional Joint Bookrunners:<br>  Citigroup, Credit Suisse, HSBC, UniCredit Bank AG  <br><br>  Co-Lead Managers:<br>  DZ Bank, ING, M.M.Warburg & CO  (Lead Manager: Berenberg, Deutsche Bank, Goldman Sachs International)",Bookbuilding Procedure,20.00 - 22.00,20,20.05,"265,115,120.00","541,580.00","13,255,756","13,228,677","27,079","1,984,301","27,079","118,110,917","2,368,123,885.85","390,030,004.00"
82,Regulated Market,Delisted,Prime Standard,Steilmann SE,DE000A14KR50,STE,Germany,NI,Consumer Goods,Consumer,Clothing & Footwear,yes,5/11/2015,Global Coordinator & Joint Bookrunner:<br>  ODDO SEYDLER BANK AG  <br><br>  Joint Bookrunner:<br>  BANCA IMI (Lead Manager: ODDO SEYDLER BANK AG),Fixed Price Procedure,,3.5,3.6,"8,571,972.50","696,972.50","2,449,135","2,449,135",,"250,000","199,135","22,449,135","80,816,886.00","8,817,122.26"
83,Regulated Market,Prime Standard,Prime Standard,Schaeffler AG,DE000SHA0159,SHA,Germany,PP,Consumer Services,Automobile,Auto Parts & Equipment,yes,9/10/2015,"Global Coordinators & Joint Bookrunners:<br>  Deutsche Bank, Citigroup  <br><br>  Joint Bookrunners:<br>  BofA Merrill Lynch, HSBC (Lead Manager: Deutsche Bank, Citigroup)",Bookbuilding Procedure,12.00 - 14.00,12.5,13.5,"937,500,000.00",,"75,000,000","66,000,000","9,000,000",,,"166,000,000","3,025,350,000.00","1,366,853,130.00"
84,Regulated Market,Delisted,Prime Standard,CHORUS Clean Energy AG,DE000A12UL56,CU1,Germany,NI,Industrials,Industrial,Renewable Energies,yes,7/10/2015,"Sole Global Coordinator:<br>  Berenberg  <br><br>  Joint Bookrunners:<br>  Berenberg, BHF Bank (Lead Manager: Berenberg)",Bookbuilding Procedure,9.75 - 12.50,9.75,9.75,"103,070,389.50",,"10,571,322","10,256,411","314,911","1,585,698",,"27,704,950","270,123,262.50","108,886,687.11"
85,Regulated Market,Prime Standard,Prime Standard,Covestro AG,DE0006062144,1COV,Germany,NI,Basic Materials,Chemicals,"Chemicals, Commodity",yes,6/10/2015,"Joint Global Coordinators:<br>  Deutsche Bank, Morgan Stanley<br><br>    Joint Bookrunners:<br>  BofA Merrill Lynch, Citigroup, Credit Suisse,   J.P. Morgan, UBS Investment Bank<br><br>    Co-Lead Managers:<br>  BNP PARIBAS, UniCredit Bank AG (Lead Manager: Deutsche Bank, Morgan Stanley)",Bookbuilding Procedure,21.50 - 24.50,24,26,"1,500,000,000.00",,"62,500,000","62,500,000",,,,"202,500,000","5,265,000,000.00","1,624,779,000.00"
86,Regulated Market,Prime Standard,Prime Standard,Scout24 AG,DE000A12DM80,G24,Germany,NI,Consumer Services,Media,Advertising,yes,1/10/2015,"Joint Global Coordinators & Joint Bookrunners:<br>  Credit Suisse, Goldman Sachs International<br><br>  Joint Bookrunners:<br>  Barclays, Jefferies, Morgan Stanley (Lead Manager: Credit Suisse, Goldman Sachs International)",Bookbuilding Procedure,26.50 - 33.00,30,30.75,"1,024,576,680.00","16,576,680.00","34,152,556","7,600,000","26,552,556","5,040,000","552,556","107,600,000","3,308,700,000.00","1,065,070,530.00"
87,Open Market,Basic Board,Entry Standard,M1 Kliniken AG,DE000A0STSQ8,M12,Germany,LI,Pharma & Healthcare,Pharma & Healthcare,Health Care,yes,14/09/2015,,,,,4.7,,,,,,,,"15,000,000","70,500,000.00",
88,Regulated Market,Prime Standard,Prime Standard,Fyber N.V.,NL0010315453,RNM,Netherlands,LI,Information Technology,Software,Software,yes,12/8/2015,,,,,3.53,,,,,,,,"114,533,333","404,302,665.49",
89,Regulated Market,Prime Standard,Prime Standard,ADLER Group S.A.,LU1250154413,ADJ,Grand Duchy of Luxembourg,NI,FIRE,Financial Services,Real Estate,yes,23/07/2015,"Joint Global Coordinators & Joint Bookrunners:<br>  Kempen & Co, UBS Investment Bank  <br><br>  Joint Bookrunners:<br>  Barclays, COMMERZBANK (Lead Manager: Kempen & Co, UBS Investment Bank)",Bookbuilding Procedure,20.00 - 25.00,20,20.1,"415,000,000.00",,"20,750,000","10,000,000","10,750,000","2,075,000",,"35,000,000","703,500,000.00","417,105,150.00"
90,Regulated Market,Prime Standard,Prime Standard,Deutsche Pfandbriefbank AG,DE0008019001,PBB,Germany,NI,FIRE,Banks,Credit Banks,yes,16/07/2015,"Joint Global Coordinators & Joint Bookrunners:<br>  Citigroup Global Markets Limited, Deutsche Bank AG   <br><br>  Joint Bookrunners:<br>  J.P. Morgan, Berenberg, COMMERZBANK (Lead Manager: Citigroup Global Markets Limited, Deutsche Bank AG )",Bookbuilding Procedure,10.75 - 12.75,10.75,11.45,"1,156,487,634.00","70,834,857.00","107,580,245",,"107,580,245","6,589,289","6,589,289","134,475,308","1,539,742,276.60","1,231,793,821.28"
91,Regulated Market,Prime Standard,Prime Standard,elumeo SE,DE000A11Q059,ELB,Germany,NI,Consumer Goods,Retail,"Retail, Internet",yes,3/7/2015,"Joint Global Coordinators & Joint Bookrunners:<br>  Société Générale Corporate & Investment Banking, Baader Bank AG   <br><br>  Co-Lead Managers:<br>  equinet AG, M.M. Warburg & CO (AG & Co.) KGaA (Lead Manager: Société Générale Corporate & Investment Banking, Baader Bank AG)",Bookbuilding Procedure,25.00 - 33.00,25,25,"38,512,050.00","1,012,050.00","1,540,482","1,500,000","40,482","225,000","40,482","5,500,000","137,500,000.00","43,120,000.00"
92,Regulated Market,Prime Standard,Prime Standard,Siltronic AG,DE000WAF3001,WAF,Germany,NI,Information Technology,Technology,Semiconductors,yes,11/6/2015,"Joint Global Coordinators and Joint Bookrunners:<br>  Citigroup, Credit Suisse<br><br>  Co-Lead Managers:<br>  COMMERZBANK, HSBC Germany, UniCredit Bank AG (Lead Manager: Citigroup, Credit Suisse)",Bookbuilding Procedure,30.00 - 38.00,30,31.5,"379,500,000.00","49,500,000.00","12,650,000","5,000,000","7,650,000","1,650,000","1,650,000","30,000,000","945,000,000.00","398,790,000.00"
93,Regulated Market,General Standard,General Standard,Mars One Ventures AG,CH0132106482,KCC,Switzerland,LI,FIRE,Financial Services,Diversified Financial,yes,8/6/2015,,,,,3.75,,,,,,,,"12,000,000","45,000,000.00",
94,Regulated Market,Delisted,Entry Standard,Heliocentris Energy Solutions AG,DE000A1MMHE3,H2FA,Germany,TR,Industrials,Industrial,Renewable Energies,yes,20/05/2015,,,,,5.8,,,,,,,,"14,242,233","82,604,951.40",
95,Regulated Market,General Standard,Freiverkehr (Berlin),NEXR Technologies SE,DE000A1K03W5,99SC,Germany,LI,Consumer Services,Media,Movies & Entertainment,yes,18/05/2015,,,,,9.1,,,,,,,,"1,420,000","12,922,000.00",
96,Regulated Market,Prime Standard,Prime Standard,Sixt Leasing SE,DE000A0DPRE6,LNSX,Germany,NI,FIRE,Financial Services,Diversified Financial,yes,7/5/2015,"Joint Global Coordinators & Joint Bookrunners:<br>  Berenberg, COMMERZBANK  <br><br>  Joint Bookrunner:<br>  Baader Bank (Lead Manager: Berenberg, COMMERZBANK)",Bookbuilding Procedure,17.90 - 21.30,20,20.4,"239,339,100.00","24,261,620.00","11,966,955","5,586,593","6,380,362","1,613,081","1,213,081","20,611,593","420,476,497.20","244,296,844.87"
